source,source_version,original_path,local_path,original_class,original_class_id,target_class,target_class_id,original_split,license
gpiosenka/car-parts-40-classes,v3,car parts 50/test/ALTERNATOR/1.jpg,ia-service/datasets/raw/kaggle-car-parts/test/ALTERNATOR/1.jpg,ALTERNATOR,,alternator,3,test,Apache-2.0
gpiosenka/car-parts-40-classes,v3,car parts 50/test/ALTERNATOR/2.jpg,ia-service/datasets/raw/kaggle-car-parts/test/ALTERNATOR/2.jpg,ALTERNATOR,,alternator,3,test,Apache-2.0
gpiosenka/car-parts-40-classes,v3,car parts 50/test/ALTERNATOR/3.jpg,ia-service/datasets/raw/kaggle-car-parts/test/ALTERNATOR/3.jpg,ALTERNATOR,,alternator,3,test,Apache-2.0
gpiosenka/car-parts-40-classes,v3,car parts 50/test/ALTERNATOR/4.jpg,ia-service/datasets/raw/kaggle-car-parts/test/ALTERNATOR/4.jpg,ALTERNATOR,,alternator,3,test,Apache-2.0
gpiosenka/car-parts-40-classes,v3,car parts 50/test/ALTERNATOR/5.jpg,ia-service/datasets/raw/kaggle-car-parts/test/ALTERNATOR/5.jpg,ALTERNATOR,,alternator,3,test,Apache-2.0
gpiosenka/car-parts-40-classes,v3,car parts 50/test/BRAKE CALIPER/1.jpg,ia-service/datasets/raw/kaggle-car-parts/test/BRAKE CALIPER/1.jpg,BRAKE CALIPER,,brake_caliper,2,test,Apache-2.0
gpiosenka/car-parts-40-classes,v3,car parts 50/test/BRAKE CALIPER/2.jpg,ia-service/datasets/raw/kaggle-car-parts/test/BRAKE CALIPER/2.jpg,BRAKE CALIPER,,brake_caliper,2,test,Apache-2.0
gpiosenka/car-parts-40-classes,v3,car parts 50/test/BRAKE CALIPER/3.jpg,ia-service/datasets/raw/kaggle-car-parts/test/BRAKE CALIPER/3.jpg,BRAKE CALIPER,,brake_caliper,2,test,Apache-2.0
gpiosenka/car-parts-40-classes,v3,car parts 50/test/BRAKE CALIPER/4.jpg,ia-service/datasets/raw/kaggle-car-parts/test/BRAKE CALIPER/4.jpg,BRAKE CALIPER,,brake_caliper,2,test,Apache-2.0
gpiosenka/car-parts-40-classes,v3,car parts 50/test/BRAKE CALIPER/5.jpg,ia-service/datasets/raw/kaggle-car-parts/test/BRAKE CALIPER/5.jpg,BRAKE CALIPER,,brake_caliper,2,test,Apache-2.0
gpiosenka/car-parts-40-classes,v3,car parts 50/test/BRAKE PAD/1.jpg,ia-service/datasets/raw/kaggle-car-parts/test/BRAKE PAD/1.jpg,BRAKE PAD,,brake_pad,0,test,Apache-2.0
gpiosenka/car-parts-40-classes,v3,car parts 50/test/BRAKE PAD/2.jpg,ia-service/datasets/raw/kaggle-car-parts/test/BRAKE PAD/2.jpg,BRAKE PAD,,brake_pad,0,test,Apache-2.0
gpiosenka/car-parts-40-classes,v3,car parts 50/test/BRAKE PAD/3.jpg,ia-service/datasets/raw/kaggle-car-parts/test/BRAKE PAD/3.jpg,BRAKE PAD,,brake_pad,0,test,Apache-2.0
gpiosenka/car-parts-40-classes,v3,car parts 50/test/BRAKE PAD/4.jpg,ia-service/datasets/raw/kaggle-car-parts/test/BRAKE PAD/4.jpg,BRAKE PAD,,brake_pad,0,test,Apache-2.0
gpiosenka/car-parts-40-classes,v3,car parts 50/test/BRAKE PAD/5.jpg,ia-service/datasets/raw/kaggle-car-parts/test/BRAKE PAD/5.jpg,BRAKE PAD,,brake_pad,0,test,Apache-2.0
gpiosenka/car-parts-40-classes,v3,car parts 50/test/BRAKE ROTOR/1.jpg,ia-service/datasets/raw/kaggle-car-parts/test/BRAKE ROTOR/1.jpg,BRAKE ROTOR,,brake_rotor,1,test,Apache-2.0
gpiosenka/car-parts-40-classes,v3,car parts 50/test/BRAKE ROTOR/2.jpg,ia-service/datasets/raw/kaggle-car-parts/test/BRAKE ROTOR/2.jpg,BRAKE ROTOR,,brake_rotor,1,test,Apache-2.0
gpiosenka/car-parts-40-classes,v3,car parts 50/test/BRAKE ROTOR/3.jpg,ia-service/datasets/raw/kaggle-car-parts/test/BRAKE ROTOR/3.jpg,BRAKE ROTOR,,brake_rotor,1,test,Apache-2.0
